IndivGroup,soundfile,S1_dur,Tcall_dur,RecSite,Lat,Long,LocCode,Region
AUA03,0212217a,0.108028045,0.256369306,A7,12.460955,-69.9438,AUA,isl
AUA03,0212220a,0.112099999,0.255715785,A7,12.460955,-69.9438,AUA,isl
AUA03,0212228a,0.107975967,0.254705927,A7,12.460955,-69.9438,AUA,isl
AUA03,0212236a,0.109462427,0.236492647,A7,12.460955,-69.9438,AUA,isl
AUA03,0212249a,0.100454661,0.252000413,A7,12.460955,-69.9438,AUA,isl
AUA03,0212253a,0.099787529,0.21731518,A7,12.460955,-69.9438,AUA,isl
AUA03,0212256a,0.102877464,0.446824753,A7,12.460955,-69.9438,AUA,isl
AUA03,0212301a,0.103129818,0.24673639,A7,12.460955,-69.9438,AUA,isl
AUA03,0212311a,0.107606327,0.261135089,A7,12.460955,-69.9438,AUA,isl
AUA03,0212322a,0.101963463,0.241110674,A7,12.460955,-69.9438,AUA,isl
AUA03,0212333a,0.152141415,0.325088659,A7,12.460955,-69.9438,AUA,isl
AUA03,0212341a,0.145174576,0.331808489,A7,12.460955,-69.9438,AUA,isl
AUA03,0212351a,0.151261406,0.324049411,A7,12.460955,-69.9438,AUA,isl
AUA03,0212410a,0.136581068,0.319764279,A7,12.460955,-69.9438,AUA,isl
AUA03,0212424a,0.100718189,0.220560378,A7,12.460955,-69.9438,AUA,isl
AUA03,0212433a,0.093441926,0.220284014,A7,12.460955,-69.9438,AUA,isl
AUA03,0212439a,0.122560092,0.271007114,A7,12.460955,-69.9438,AUA,isl
BON01,0603219a,0.090667906,0.194221093,B1,12.200227,-68.26546,BON,isl
BON01,0603220a,0.103510306,0.208751342,B1,12.200227,-68.26546,BON,isl
BON01,0603225a,0.091665983,0.17898354,B1,12.200227,-68.26546,BON,isl
BON01,0603226a,0.100683923,0.195466846,B1,12.200227,-68.26546,BON,isl
BON01,0603231a,0.128697311,0.360987177,B1,12.200227,-68.26546,BON,isl
BON01,0603235a,0.121671583,0.593504549,B1,12.200227,-68.26546,BON,isl
BON01,0603238a,0.119797697,0.352687257,B1,12.200227,-68.26546,BON,isl
BON01,0603239a,0.129670351,0.367069772,B1,12.200227,-68.26546,BON,isl
BON01,0603243a,0.159429406,0.437617204,B1,12.200227,-68.26546,BON,isl
BON01,0603246a,0.130949551,0.363297038,B1,12.200227,-68.26546,BON,isl
BON01,0603250a,0.085425185,0.498147402,B1,12.200227,-68.26546,BON,isl
BON02,0603306a,0.086475574,0.250660402,B1,12.200227,-68.26546,BON,isl
BON02,0603320a,0.080920377,0.249345759,B1,12.200227,-68.26546,BON,isl
BON02,0603328a,0.089919521,0.41461796,B1,12.200227,-68.26546,BON,isl
BON02,0603331a,0.107294662,0.27224722,B1,12.200227,-68.26546,BON,isl
BON02,0603337a,0.094338748,0.415256851,B1,12.200227,-68.26546,BON,isl
BON02,0603354a,0.094947036,0.444866574,B1,12.200227,-68.26546,BON,isl
BON02,0603405a,0.095366908,0.42465017,B1,12.200227,-68.26546,BON,isl
BON02,0603410a,0.097035071,0.463015593,B1,12.200227,-68.26546,BON,isl
BON02,0603420a,0.094005223,0.424664217,B1,12.200227,-68.26546,BON,isl
BON02,0603424a,0.106120318,0.443342646,B1,12.200227,-68.26546,BON,isl
BON02,0603434a,0.113763051,0.444421919,B1,12.200227,-68.26546,BON,isl
BON02,0603436a,0.100786265,0.279595079,B1,12.200227,-68.26546,BON,isl
BON03,0605236a,0.118703704,0.270458874,B3,12.199419,-68.276654,BON,isl
BON03,0605239a,0.115026955,0.262631504,B3,12.199419,-68.276654,BON,isl
BON03,0605242a,0.121838555,0.489584998,B3,12.199419,-68.276654,BON,isl
BON03,0605244a,0.121743125,0.283370383,B3,12.199419,-68.276654,BON,isl
BON03,0605247a,0.118194483,0.274165068,B3,12.199419,-68.276654,BON,isl
BON03,0605248a,0.113473327,0.279819739,B3,12.199419,-68.276654,BON,isl
BON03,0605251a,0.111071684,0.285039833,B3,12.199419,-68.276654,BON,isl
BON03,0605253a,0.12725843,0.285905663,B3,12.199419,-68.276654,BON,isl
BON03,0605257a,0.125172877,0.28343563,B3,12.199419,-68.276654,BON,isl
BON03,0605303a,0.123288419,0.290566868,B3,12.199419,-68.276654,BON,isl
BON03,0605342a,0.123400363,0.262001018,B3,12.199419,-68.276654,BON,isl
BON04,0610616a,0.154098283,0.142965924,B13,12.295511,-68.391593,BON,isl
BON04,0610619a,0.148189177,0.146745431,B13,12.295511,-68.391593,BON,isl
BON04,0610622a,0.150895849,0.149450663,B13,12.295511,-68.391593,BON,isl
BON04,0610633a,0.151678919,0.366390191,B13,12.295511,-68.391593,BON,isl
BON04,0610640a,0.180780819,0.43026204,B13,12.295511,-68.391593,BON,isl
BON04,0610646a,0.089558396,0.476779544,B13,12.295511,-68.391593,BON,isl
BON04,0610658a,0.184897069,0.448690329,B13,12.295511,-68.391593,BON,isl
BON04,0610701a,0.097570016,0.254222677,B13,12.295511,-68.391593,BON,isl
BON04,0610706a,0.114509627,0.274722134,B13,12.295511,-68.391593,BON,isl
BON04,0610711a,0.094598422,0.244219302,B13,12.295511,-68.391593,BON,isl
BON04,0610715a,0.168258213,0.433733186,B13,12.295511,-68.391593,BON,isl
BON04,0610726a,0.161005201,0.419577309,B13,12.295511,-68.391593,BON,isl
BON04,0610739a,0.118448202,0.316313802,B13,12.295511,-68.391593,BON,isl
BON04,0610742a,0.095690303,0.472928941,B13,12.295511,-68.391593,BON,isl
BON04,0610750a,0.169213703,0.421163976,B13,12.295511,-68.391593,BON,isl
BON04,0610757a,0.097525107,0.286624079,B13,12.295511,-68.391593,BON,isl
BON04,0610800a,0.096500664,0.241771175,B13,12.295511,-68.391593,BON,isl
